,Unnamed: 0,Date,Matchup,Bookmaker,Team,Moneyline Odds,Estimated Win Percentage,Opposing Odds
142,142,2023-11-03T12:00:00Z,Indiana Pacers vs Cleveland Cavaliers,draftkings,Cleveland Cavaliers,-148,0.5967741935483871,124
143,143,2023-11-03T12:00:00Z,Indiana Pacers vs Cleveland Cavaliers,draftkings,Indiana Pacers,124,0.44642857142857145,-148
144,144,2023-11-03T12:00:00Z,Milwaukee Bucks vs New York Knicks,draftkings,Milwaukee Bucks,-250,0.7142857142857143,205
145,145,2023-11-03T12:00:00Z,Milwaukee Bucks vs New York Knicks,draftkings,New York Knicks,205,0.32786885245901637,-250
146,146,2023-11-03T12:00:00Z,Chicago Bulls vs Brooklyn Nets,draftkings,Brooklyn Nets,154,0.3937007874015748,-185
147,147,2023-11-03T12:00:00Z,Chicago Bulls vs Brooklyn Nets,draftkings,Chicago Bulls,-185,0.6491228070175439,154
148,148,2023-11-03T12:00:00Z,Oklahoma City Thunder vs Golden State Warriors,draftkings,Golden State Warriors,-218,0.6855345911949685,180
149,149,2023-11-03T12:00:00Z,Oklahoma City Thunder vs Golden State Warriors,draftkings,Oklahoma City Thunder,180,0.35714285714285715,-218
150,150,2023-11-03T12:00:00Z,Miami Heat vs Washington Wizards,draftkings,Miami Heat,-440,0.8148148148148148,340
151,151,2023-11-03T12:00:00Z,Miami Heat vs Washington Wizards,draftkings,Washington Wizards,340,0.22727272727272727,-440
152,152,2023-11-03T12:00:00Z,Denver Nuggets vs Dallas Mavericks,draftkings,Dallas Mavericks,220,0.3125,-270
153,153,2023-11-03T12:00:00Z,Denver Nuggets vs Dallas Mavericks,draftkings,Denver Nuggets,-270,0.7297297297297297,220
154,154,2023-11-03T12:00:00Z,Portland Trail Blazers vs Memphis Grizzlies,draftkings,Memphis Grizzlies,-148,0.5967741935483871,124
155,155,2023-11-03T12:00:00Z,Portland Trail Blazers vs Memphis Grizzlies,draftkings,Portland Trail Blazers,124,0.44642857142857145,-148
156,156,2023-11-04T12:00:00Z,Philadelphia 76ers vs Phoenix Suns,draftkings,Philadelphia 76ers,-162,0.6183206106870229,136
157,157,2023-11-04T12:00:00Z,Philadelphia 76ers vs Phoenix Suns,draftkings,Phoenix Suns,136,0.423728813559322,-162
158,158,2023-11-04T12:00:00Z,New Orleans Pelicans vs Atlanta Hawks,draftkings,Atlanta Hawks,124,0.44642857142857145,-148
159,159,2023-11-04T12:00:00Z,New Orleans Pelicans vs Atlanta Hawks,draftkings,New Orleans Pelicans,-148,0.5967741935483871,124
160,160,2023-11-04T12:00:00Z,Indiana Pacers vs Charlotte Hornets,draftkings,Charlotte Hornets,136,0.423728813559322,-162
161,161,2023-11-04T12:00:00Z,Indiana Pacers vs Charlotte Hornets,draftkings,Indiana Pacers,-162,0.6183206106870229,136
162,162,2023-11-04T12:00:00Z,Orlando Magic vs Los Angeles Lakers,draftkings,Los Angeles Lakers,-166,0.6240601503759399,140
163,163,2023-11-04T12:00:00Z,Orlando Magic vs Los Angeles Lakers,draftkings,Orlando Magic,140,0.4166666666666667,-166
164,164,2023-11-04T12:00:00Z,Houston Rockets vs Sacramento Kings,draftkings,Houston Rockets,130,0.43478260869565216,-155
165,165,2023-11-04T12:00:00Z,Houston Rockets vs Sacramento Kings,draftkings,Sacramento Kings,-155,0.6078431372549019,130
166,166,2023-11-04T12:00:00Z,Brooklyn Nets vs Boston Celtics,draftkings,Boston Celtics,-455,0.8198198198198198,350
167,167,2023-11-04T12:00:00Z,Brooklyn Nets vs Boston Celtics,draftkings,Brooklyn Nets,350,0.2222222222222222,-455
168,168,2023-11-04T12:00:00Z,Minnesota Timberwolves vs Utah Jazz,draftkings,Minnesota Timberwolves,-290,0.7435897435897436,235
169,169,2023-11-04T12:00:00Z,Minnesota Timberwolves vs Utah Jazz,draftkings,Utah Jazz,235,0.29850746268656714,-290
170,170,2023-11-04T12:00:00Z,Denver Nuggets vs Chicago Bulls,draftkings,Chicago Bulls,310,0.24390243902439024,-395
171,171,2023-11-04T12:00:00Z,Denver Nuggets vs Chicago Bulls,draftkings,Denver Nuggets,-395,0.797979797979798,310
172,172,2023-11-05T12:00:00Z,Detroit Pistons vs Phoenix Suns,draftkings,Detroit Pistons,190,0.3448275862068966,-230
173,173,2023-11-05T12:00:00Z,Detroit Pistons vs Phoenix Suns,draftkings,Phoenix Suns,-230,0.696969696969697,190
174,174,2023-11-05T12:00:00Z,San Antonio Spurs vs Toronto Raptors,draftkings,San Antonio Spurs,130,0.43478260869565216,-155
175,175,2023-11-05T12:00:00Z,San Antonio Spurs vs Toronto Raptors,draftkings,Toronto Raptors,-155,0.6078431372549019,130
176,176,2023-11-05T12:00:00Z,Cleveland Cavaliers vs Golden State Warriors,draftkings,Cleveland Cavaliers,-118,0.5412844036697247,-102
177,177,2023-11-05T12:00:00Z,Cleveland Cavaliers vs Golden State Warriors,draftkings,Golden State Warriors,-102,0.504950495049505,-118
178,178,2023-11-05T12:00:00Z,Dallas Mavericks vs Charlotte Hornets,draftkings,Charlotte Hornets,440,0.18518518518518517,-600
179,179,2023-11-05T12:00:00Z,Dallas Mavericks vs Charlotte Hornets,draftkings,Dallas Mavericks,-600,0.8571428571428571,440
180,180,2023-11-05T12:00:00Z,Portland Trail Blazers vs Memphis Grizzlies,draftkings,Memphis Grizzlies,-142,0.5867768595041323,120
181,181,2023-11-05T12:00:00Z,Portland Trail Blazers vs Memphis Grizzlies,draftkings,Portland Trail Blazers,120,0.45454545454545453,-142
182,182,2023-11-06T12:00:00Z,Orlando Magic vs Dallas Mavericks,draftkings,Dallas Mavericks,100,0.5,-120
183,183,2023-11-06T12:00:00Z,Orlando Magic vs Dallas Mavericks,draftkings,Orlando Magic,-120,0.5454545454545454,100
184,184,2023-11-06T12:00:00Z,Detroit Pistons vs Golden State Warriors,draftkings,Detroit Pistons,200,0.3333333333333333,-245
185,185,2023-11-06T12:00:00Z,Detroit Pistons vs Golden State Warriors,draftkings,Golden State Warriors,-245,0.7101449275362319,200
186,186,2023-11-06T12:00:00Z,Indiana Pacers vs San Antonio Spurs,draftkings,Indiana Pacers,-310,0.7560975609756098,250
187,187,2023-11-06T12:00:00Z,Indiana Pacers vs San Antonio Spurs,draftkings,San Antonio Spurs,250,0.2857142857142857,-310
188,188,2023-11-06T12:00:00Z,Philadelphia 76ers vs Washington Wizards,draftkings,Philadelphia 76ers,-625,0.8620689655172413,455
189,189,2023-11-06T12:00:00Z,Philadelphia 76ers vs Washington Wizards,draftkings,Washington Wizards,455,0.18018018018018017,-625
190,190,2023-11-06T12:00:00Z,Brooklyn Nets vs Milwaukee Bucks,draftkings,Brooklyn Nets,180,0.35714285714285715,-218
