Date,Matchup,Bookmaker,Team,Moneyline Odds
2023-11-09T12:00:00Z,Indiana Pacers vs Milwaukee Bucks,draftkings,Milwaukee Bucks,-180
2023-11-09T12:00:00Z,Orlando Magic vs Atlanta Hawks,draftkings,Atlanta Hawks,-148
2023-11-09T12:00:00Z,Orlando Magic vs Atlanta Hawks,draftkings,Orlando Magic,124
2023-11-10T12:00:00Z,Washington Wizards vs Charlotte Hornets,draftkings,Charlotte Hornets,110
2023-11-10T12:00:00Z,Washington Wizards vs Charlotte Hornets,draftkings,Washington Wizards,-130
2023-11-10T12:00:00Z,Detroit Pistons vs Philadelphia 76ers,draftkings,Detroit Pistons,270
2023-11-10T12:00:00Z,Detroit Pistons vs Philadelphia 76ers,draftkings,Philadelphia 76ers,-340
2023-11-10T12:00:00Z,Boston Celtics vs Brooklyn Nets,draftkings,Boston Celtics,-520
2023-11-10T12:00:00Z,Boston Celtics vs Brooklyn Nets,draftkings,Brooklyn Nets,390
2023-11-10T12:00:00Z,Houston Rockets vs New Orleans Pelicans,draftkings,Houston Rockets,-130
2023-11-10T12:00:00Z,Houston Rockets vs New Orleans Pelicans,draftkings,New Orleans Pelicans,110
2023-11-10T12:00:00Z,Memphis Grizzlies vs Utah Jazz,draftkings,Memphis Grizzlies,-185
2023-11-10T12:00:00Z,Memphis Grizzlies vs Utah Jazz,draftkings,Utah Jazz,154
2023-11-10T12:00:00Z,San Antonio Spurs vs Minnesota Timberwolves,draftkings,Minnesota Timberwolves,-265
2023-11-10T12:00:00Z,San Antonio Spurs vs Minnesota Timberwolves,draftkings,San Antonio Spurs,215
2023-11-10T12:00:00Z,Dallas Mavericks vs Los Angeles Clippers,draftkings,Dallas Mavericks,-122
2023-11-10T12:00:00Z,Dallas Mavericks vs Los Angeles Clippers,draftkings,Los Angeles Clippers,102
2023-11-10T12:00:00Z,Phoenix Suns vs Los Angeles Lakers,draftkings,Los Angeles Lakers,140
2023-11-10T12:00:00Z,Phoenix Suns vs Los Angeles Lakers,draftkings,Phoenix Suns,-166
2023-11-10T12:00:00Z,Sacramento Kings vs Oklahoma City Thunder,draftkings,Oklahoma City Thunder,-130
2023-11-10T12:00:00Z,Sacramento Kings vs Oklahoma City Thunder,draftkings,Sacramento Kings,110
2023-11-11T12:00:00Z,Orlando Magic vs Milwaukee Bucks,draftkings,Milwaukee Bucks,-162
2023-11-11T12:00:00Z,Orlando Magic vs Milwaukee Bucks,draftkings,Orlando Magic,136
2023-11-11T12:00:00Z,Boston Celtics vs Toronto Raptors,draftkings,Boston Celtics,-345
2023-11-11T12:00:00Z,Boston Celtics vs Toronto Raptors,draftkings,Toronto Raptors,275
2023-11-11T12:00:00Z,Atlanta Hawks vs Miami Heat,draftkings,Atlanta Hawks,-185
2023-11-11T12:00:00Z,Atlanta Hawks vs Miami Heat,draftkings,Miami Heat,154
2023-11-11T12:00:00Z,Golden State Warriors vs Cleveland Cavaliers,draftkings,Cleveland Cavaliers,145
2023-11-11T12:00:00Z,Golden State Warriors vs Cleveland Cavaliers,draftkings,Golden State Warriors,-175
2023-11-12T12:00:00Z,New York Knicks vs Charlotte Hornets,draftkings,Charlotte Hornets,350
